OrgUnit,UID,Code,Parent,Short name,Description,Opening date,Closed date,comment,Feature type,Coordinates,URL,Contact person,Address,Email,Phone number
PVT First Baptist Church Nursery And Primary School Jos (31050198),vR6PIfCMF6S,31050198,RqsATah9zZ6,PVT First Baptist Church Nursery And Primary Sch,,1987-01-01,,,,,,,,,
PVT Fellowship Baptist Private Nursery And Primary School (31050194),rmoQE8QFa8T,31050194,RqsATah9zZ6,PVT Fellowship Baptist Private Nursery And Prima,,2007-01-01,,,,,,,,,
PRY Fanube Primary School Fanube (31050189),wqDXVgiwbmy,31050189,RqsATah9zZ6,PRY Fanube Primary School Fanube (31050189),,2002-01-01,,,,,,,,,
PVT Enic International Academy (Nursery And Primary School) Rukuba Road (31050182),aDzyecn6o1b,31050182,RqsATah9zZ6,PVT Enic International Academy (Nursery And Prim,,2011-01-01,,,,,,,,,
PVT Emmanuel Anglican Church School Jos (31050180),H2hVsifQg7w,31050180,RqsATah9zZ6,PVT Emmanuel Anglican Church School Jos (3105018,,2013-01-01,,,,,,,,,
PRY Ekan Chwelnyap Primary School Ekan Chwelnyap (31050176),brYBvQTqOHu,31050176,RqsATah9zZ6,PRY Ekan Chwelnyap Primary School Ekan Chwelnyap,,1951-01-01,,,,,,,,,
PRY Ecwa Transferred Primary School Jos North (31050175),bDYjf3jNFJ8,31050175,RqsATah9zZ6,PRY Ecwa Transferred Primary School Jos North (3,,1963-01-01,,,,,,,,,
PVT Ecwa Private Secondary School (31050172),mOGavhazxj5,31050172,RqsATah9zZ6,PVT Ecwa Private Secondary School (31050172),,2004-01-01,,,,,,,,,
PVT Ecwa Nursery/Primary Tudun Wada (31050167),iGdvaSLmqR5,31050167,RqsATah9zZ6,PVT Ecwa Nursery/Primary Tudun Wada (31050167),,1997-01-01,,,,,,,,,
PVT Ebenezer Kiddies Academy Jos (31050158),zyEW5pmfE9T,31050158,RqsATah9zZ6,PVT Ebenezer Kiddies Academy Jos (31050158),,2012-01-01,,,,,,,,,
PVT Ebenezer Baptist Model Nursery And Primary School (31050157),J2pWuFfYLbR,31050157,RqsATah9zZ6,PVT Ebenezer Baptist Model Nursery And Primary S,,2006-01-01,,,,,,,,,
PVT Divine Kid And Kids Primary School (31050156),hhcve0TuZgP,31050156,RqsATah9zZ6,PVT Divine Kid And Kids Primary School (31050156,,2010-01-01,,,,,,,,,
PVT Divine Grace Private School (31050154),fPohPflClAO,31050154,RqsATah9zZ6,PVT Divine Grace Private School (31050154),,2000-01-01,,,,,,,,,
